age,gender,country,self_employed,family_history,treatment,work_interfere,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_concequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
33,male,Canada,0,Yes,1,Sometimes,Sometimes,1,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,I don't know,No
40,male,Netherlands,0,No,1,Not applicable to me,Sometimes,1,No,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,Yes,I don't know,No
21,male,United Kingdom,0,No,0,Not applicable to me,Never,1,Yes,Yes,No,I don't know,Yes,I don't know,No,No,Maybe,Yes,No,No,I don't know,No
36,male,Brazil,0,Yes,0,Often,Never,1,No,No,No,No,I don't know,Very difficult,Maybe,Maybe,No,No,No,No,I don't know,Yes
36,female,United States of America,0,I don't know,1,Not applicable to me,Sometimes,0,I don't know,No,Yes,No,I don't know,Very difficult,Yes,Maybe,Yes,No,No,Maybe,I don't know,No
42,other," M2F""",,0,Yes,1,01-May,Always,1,No,Yes,No,No,No,Very difficult,Maybe,Maybe,No,No,No,No,I don't know
26,other,Netherlands,0,No,1,Never,Sometimes,1,Not eligible for coverage / N/A,N/A,Yes,I don't know,I don't know,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No
29,male,Denmark,0,No,0,Not applicable to me,Sometimes,1,No,No,No,No,No,Somewhat easy,No,No,Maybe,Yes,Maybe,Yes,No,No
30,female,United Kingdom,0,Yes,1,Rarely,Sometimes,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe,I don't know,No
36,male,Mexico,0,Yes,0,Never,Sometimes,0,No,Yes,Yes,No,No,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,No,No
56,male,Australia,0,No,0,Sometimes,Sometimes,0,No,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,Yes
21,male,United Kingdom,0,Yes,1,Sometimes,Never,1,No,No,I don't know,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,Maybe,Maybe,Yes,No
35,male,Netherlands,0,No,1,Rarely,Sometimes,1,Yes,Yes,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
51,male,United States of America,0,I don't know,1,Sometimes,Never,1,Yes,I am not sure,No,I don't know,No,Neither easy nor difficult,No,No,Maybe,Yes,No,Maybe,I don't know,No
24,female,Australia,0,I don't know,1,Sometimes,Sometimes,1,Not eligible for coverage / N/A,N/A,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,I don't know,No
36,male,United States of America,0,Yes,1,Sometimes,Sometimes,1,No,N/A,No,No,No,Very difficult,Yes,No,No,No,No,No,I don't know,No
38,male,United States of America,0,I don't know,1,Not applicable to me,Sometimes,0,Not eligible for coverage / N/A,N/A,Yes,No,Yes,Neither easy nor difficult,No,No,Yes,Yes,No,Maybe,Yes,No
33,male,United States of America,0,Yes,0,Sometimes,Sometimes,1,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,No,No,I don't know,No
44,female,Canada,0,Yes,1,Never,Always,1,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Yes,Yes,No,No,No,No,No,No
27,female,United States of America,0,Yes,0,Rarely,Always,1,I don't know,I am not sure,No,No,I don't know,Very easy,No,No,Maybe,Maybe,Maybe,Maybe,Yes,No
55,male,United States of America,0,Yes,1,Often,Sometimes,1,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes
30,male,United States of America,0,Yes,1,Sometimes,Always,1,No,No,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,I don't know,No
22,male,United Kingdom,0,No,0,Not applicable to me,Never,1,Not eligible for coverage / N/A,N/A,No,No,I don't know,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No
42,male,United States of America,0,Yes,1,Not applicable to me,Always,1,Yes,Yes,Yes,No,No,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
26,female,Canada,0,Yes,1,Not applicable to me,Sometimes,1,No,N/A,No,No,No,Very difficult,Yes,Yes,No,No,No,Maybe,I don't know,No
27,male,United States of America,0,Yes,0,Not applicable to me,Never,1,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,No,No,I don't know,No
44,male,United States of America,0,No,0,Not applicable to me,Always,1,I don't know,No,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Yes,No
22,female,Brazil,0,I don't know,1,Sometimes,Always,1,I don't know,No,No,I don't know,No,Very difficult,Maybe,Maybe,No,No,Yes,Maybe,No,Yes
25,male,United States of America,0,Yes,1,Not applicable to me,Sometimes,0,I don't know,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe,No,No,No,No,Yes,No
38,female,United States of America,0,Yes,1,Rarely,Always,1,No,I am not sure,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
28,male,Canada,0,I don't know,0,Not applicable to me,Always,1,No,N/A,I don't know,I don't know,I don't know,Somewhat difficult,No,No,No,Maybe,Maybe,Maybe,I don't know,No
23,female,United States of America,0,I don't know,1,Rarely,Sometimes,1,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,Maybe,No,No,Maybe,Yes,No
25,male,India,0,No,0,Never,Never,1,No,No,No,No,No,Very easy,No,Maybe,Maybe,No,Yes,Yes,I don't know,Yes
32,male,United States of America,0,No,0,Not applicable to me,Always,1,No,N/A,No,No,I don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
28,female,United States of America,0,Yes,1,Rarely,Sometimes,1,Not eligible for coverage / N/A,N/A,No,Yes,Yes,Very easy,No,No,Maybe,Yes,No,No,Yes,No
32,male,Iran,0,Yes,0,Rarely,Sometimes,1,No,N/A,No,No,No,Very easy,No,No,Yes,Yes,Yes,Yes,I don't know,No
31,male,United States of America,0,Yes,1,Rarely,Sometimes,1,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,No,No,Yes,No
21,other,United States of America,0,Yes,1,Rarely,Always,1,No,Yes,No,No,No,Somewhat easy,Maybe,No,Maybe,Maybe,Maybe,Yes,I don't know,No
43,male,Switzerland,0,No,0,Not applicable to me,Sometimes,1,No,No,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,Yes,Yes,I don't know,No
24,male,United States of America,0,No,0,Not applicable to me,Always,1,No,N/A,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,Maybe,Yes,I don't know,No
37,female,Australia,0,Yes,0,Not applicable to me,Always,1,Not eligible for coverage / N/A,N/A,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
22,other,United States of America,0,Yes,1,Rarely,Always,1,Not eligible for coverage / N/A,N/A,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No
32,male,United Kingdom,0,Yes,0,Sometimes,Sometimes,1,Not eligible for coverage / N/A,No,No,No,No,Somewhat difficult,Yes,No,Maybe,Maybe,No,No,Yes,No
23,male,Canada,0,No,0,Not applicable to me,Never,1,No,N/A,No,No,Yes,Somewhat difficult,No,No,No,No,No,No,I don't know,No
33,male,Finland,0,Yes,0,Rarely,Sometimes,1,Yes,No,No,No,I don't know,Very difficult,Maybe,No,Yes,Maybe,No,Yes,Yes,No
29,male,Austria,0,No,1,Sometimes,Never,1,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Maybe,No,No
